date,weightclass,fighter,rank
2026-06-20,Flyweight,Joshua Van,0
2026-06-20,Flyweight,Alexandre Pantoja,1
2026-06-20,Flyweight,Manel Kape,2
2026-06-20,Flyweight,Tatsuro Taira,3
2026-06-20,Flyweight,Brandon Royval,4
2026-06-20,Flyweight,Lone'er Kavanagh,5
2026-06-20,Flyweight,Kyoji Horiguchi,6
2026-06-20,Flyweight,Asu Almabayev,7
2026-06-20,Flyweight,Amir Albazi,8
2026-06-20,Flyweight,Brandon Moreno,9
2026-06-20,Flyweight,Kevin Borjas,10
2026-06-20,Flyweight,Mitch Raposo,11
2026-06-20,Flyweight,Sumudaerji,12
2026-06-20,Flyweight,Steve Erceg,13
2026-06-20,Flyweight,Alex Perez,14
2026-06-20,Flyweight,Charles Johnson,15
2026-06-20,Bantamweight,Petr Yan,0
2026-06-20,Bantamweight,Merab Dvalishvili,1
2026-06-20,Bantamweight,Umar Nurmagomedov,2
2026-06-20,Bantamweight,Sean O'Malley,3
2026-06-20,Bantamweight,Cory Sandhagen,4
2026-06-20,Bantamweight,Mario Bautista,5
2026-06-20,Bantamweight,Song Yadong,6
2026-06-20,Bantamweight,David Martinez,7
2026-06-20,Bantamweight,Raoni Barcelos,8
2026-06-20,Bantamweight,Marcus McGhee,9
2026-06-20,Bantamweight,Farid Basharat,10
2026-06-20,Bantamweight,Deiveson Figueiredo,11
2026-06-20,Bantamweight,Aiemann Zahabi,12
2026-06-20,Bantamweight,Charles Jourdain,13
2026-06-20,Bantamweight,Bryce Mitchell,14
2026-06-20,Bantamweight,Montel Jackson,15
2026-06-20,Featherweight,Alexander Volkanovski,0
2026-06-20,Featherweight,Movsar Evloev,1
2026-06-20,Featherweight,Diego Lopes,2
2026-06-20,Featherweight,Lerone Murphy,3
2026-06-20,Featherweight,Aljamain Sterling,4
2026-06-20,Featherweight,Arnold Allen,5
2026-06-20,Featherweight,Jean Silva,6
2026-06-20,Featherweight,Pat Sabatini,7
2026-06-20,Featherweight,Youssef Zalal,8
2026-06-20,Featherweight,Nathaniel Wood,9
2026-06-20,Featherweight,Kevin Vallejos,10
2026-06-20,Featherweight,Melquizael Costa,11
2026-06-20,Featherweight,Steve Garcia,12
2026-06-20,Featherweight,Aaron Pico,13
2026-06-20,Featherweight,Joanderson Brito,14
2026-06-20,Featherweight,Jose Delgado,15
2026-06-20,Lightweight,Justin Gaethje,0
2026-06-20,Lightweight,Ilia Topuria,1
2026-06-20,Lightweight,Arman Tsarukyan,2
2026-06-20,Lightweight,Charles Oliveira,3
2026-06-20,Lightweight,Max Holloway,4
2026-06-20,Lightweight,Benoit Saint Denis,5
2026-06-20,Lightweight,Mateusz Gamrot,6
2026-06-20,Lightweight,Renato Moicano,7
2026-06-20,Lightweight,Quillan Salkilld,8
2026-06-20,Lightweight,Paddy Pimblett,9
2026-06-20,Lightweight,Mauricio Ruffy,10
2026-06-20,Lightweight,Dan Hooker,11
2026-06-20,Lightweight,Tom Nolan,12
2026-06-20,Lightweight,Manuel Torres,13
2026-06-20,Lightweight,Grant Dawson,14
2026-06-20,Lightweight,Rafa Garcia,15
2026-06-20,Welterweight,Islam Makhachev,0
2026-06-20,Welterweight,Ian Machado Garry,2
2026-06-20,Welterweight,Michael Morales,3
2026-06-20,Welterweight,Jack Della Maddalena,4
2026-06-20,Welterweight,Sean Brady,5
2026-06-20,Welterweight,Belal Muhammad,7
2026-06-20,Welterweight,Leon Edwards,8
2026-06-20,Welterweight,Joaquin Buckley,9
2026-06-20,Welterweight,Mike Malott,11
2026-06-20,Welterweight,Michael Page,12
2026-06-20,Welterweight,Daniel Rodriguez,13
2026-06-20,Welterweight,Uros Medic,14
2026-06-20,Welterweight,Yaroslav Amosov,15
2026-06-20,Welterweight,Carlos Prates,NA
2026-06-20,Welterweight,Gabriel Bonfim,NA
2026-06-20,Welterweight,Kamaru Usman,NA
2026-06-20,Middleweight,Sean Strickland,0
2026-06-20,Middleweight,Khamzat Chimaev,1
2026-06-20,Middleweight,Dricus Du Plessis,2
2026-06-20,Middleweight,Nassourdine Imavov,3
2026-06-20,Middleweight,Brendan Allen,4
2026-06-20,Middleweight,Joe Pyfer,5
2026-06-20,Middleweight,Caio Borralho,6
2026-06-20,Middleweight,Anthony Hernandez,7
2026-06-20,Middleweight,Israel Adesanya,8
2026-06-20,Middleweight,Gregory Rodrigues,9
2026-06-20,Middleweight,Jared Cannonier,10
2026-06-20,Middleweight,Christian Leroy Duncan,11
2026-06-20,Middleweight,Paulo Costa,13
2026-06-20,Middleweight,Ikram Aliskerov,14
2026-06-20,Middleweight,Reinier de Ridder,15
2026-06-20,Middleweight,Bo Nickal,NA
2026-06-20,Light Heavyweight,Carlos Ulberg,0
2026-06-20,Light Heavyweight,Alex Pereira,1
2026-06-20,Light Heavyweight,Magomed Ankalaev,2
2026-06-20,Light Heavyweight,Jiri Prochazka,3
2026-06-20,Light Heavyweight,Paulo Costa,4
2026-06-20,Light Heavyweight,Jamahal Hill,5
2026-06-20,Light Heavyweight,Khalil Rountree Jr.,6
2026-06-20,Light Heavyweight,Dominick Reyes,7
2026-06-20,Light Heavyweight,Azamat Murzakanov,9
2026-06-20,Light Heavyweight,Bogdan Guskov,10
2026-06-20,Light Heavyweight,Dustin Jacoby,11
2026-06-20,Light Heavyweight,Navajo Stirling,12
2026-06-20,Light Heavyweight,Alonzo Menifield,13
2026-06-20,Light Heavyweight,Johnny Walker,14
2026-06-20,Light Heavyweight,Jan Blachowicz,15
2026-06-20,Light Heavyweight,Volkan Oezdemir,NA
2026-06-20,Heavyweight,Tom Aspinall,0
2026-06-20,Heavyweight,Ciryl Gane,1
2026-06-20,Heavyweight,Alexander Volkov,2
2026-06-20,Heavyweight,Sergei Pavlovich,3
2026-06-20,Heavyweight,Alex Pereira,4
2026-06-20,Heavyweight,Josh Hokit,5
2026-06-20,Heavyweight,Waldo Cortes-Acosta,6
2026-06-20,Heavyweight,Rizvan Kuniev,7
2026-06-20,Heavyweight,Curtis Blaydes,8
2026-06-20,Heavyweight,Serghei Spivac,9
2026-06-20,Heavyweight,Vitor Petrino,10
2026-06-20,Heavyweight,Valter Walker,11
2026-06-20,Heavyweight,Brando Pericic,12
2026-06-20,Heavyweight,Mario Pinto,13
2026-06-20,Heavyweight,Mick Parkin,14
2026-06-20,Heavyweight,Ryan Spann,15
2026-06-20,Women's Strawweight,Mackenzie Dern,0
2026-06-20,Women's Strawweight,Zhang Weili,1
2026-06-20,Women's Strawweight,Virna Jandiroba,2
2026-06-20,Women's Strawweight,Tatiana Suarez,3
2026-06-20,Women's Strawweight,Gillian Robertson,4
2026-06-20,Women's Strawweight,Yan Xiaonan,5
2026-06-20,Women's Strawweight,Piera Rodriguez,6
2026-06-20,Women's Strawweight,Tabatha Ricci,7
2026-06-20,Women's Strawweight,Denise Gomes,8
2026-06-20,Women's Strawweight,Mizuki,9
2026-06-20,Women's Strawweight,Alexia Thainara,10
2026-06-20,Women's Strawweight,Amanda Lemos,11
2026-06-20,Women's Strawweight,Loopy Godinez,12
2026-06-20,Women's Strawweight,Jaqueline Amorim,13
2026-06-20,Women's Strawweight,Fatima Kline,14
2026-06-20,Women's Strawweight,Talita Alencar,15
2026-06-20,Women's Flyweight,Valentina Shevchenko,0
2026-06-20,Women's Flyweight,Natalia Silva,1
2026-06-20,Women's Flyweight,Manon Fiorot,2
2026-06-20,Women's Flyweight,Alexa Grasso,3
2026-06-20,Women's Flyweight,Erin Blanchfield,4
2026-06-20,Women's Flyweight,Zhang Weili,5
2026-06-20,Women's Flyweight,Jasmine Jasudavicius,6
2026-06-20,Women's Flyweight,Rose Namajunas,7
2026-06-20,Women's Flyweight,Tracy Cortez,8
2026-06-20,Women's Flyweight,Maycee Barber,9
2026-06-20,Women's Flyweight,Wang Cong,10
2026-06-20,Women's Flyweight,Miranda Maverick,11
2026-06-20,Women's Flyweight,JJ Aldrich,12
2026-06-20,Women's Flyweight,Karine Silva,13
2026-06-20,Women's Flyweight,Eduarda Moura,14
2026-06-20,Women's Flyweight,Casey O'Neill,15
2026-06-20,Women's Bantamweight,Kayla Harrison,0
2026-06-20,Women's Bantamweight,Joselyne Edwards,1
2026-06-20,Women's Bantamweight,Norma Dumont,2
2026-06-20,Women's Bantamweight,Luana Santos,3
2026-06-20,Women's Bantamweight,Julianna Pena,4
2026-06-20,Women's Bantamweight,Ailin Perez,5
2026-06-20,Women's Bantamweight,Yana Santos,6
2026-06-20,Women's Bantamweight,Jacqueline Cavalcanti,7
2026-06-20,Women's Bantamweight,Michelle Montague,8
2026-06-20,Women's Bantamweight,Melissa Croden,9
2026-06-20,Women's Bantamweight,Karol Rosa,10
2026-06-20,Women's Bantamweight,Bia Mesquita,11
2026-06-20,Women's Bantamweight,Irene Aldana,12
2026-06-20,Women's Bantamweight,Macy Chiasson,13
2026-06-20,Women's Bantamweight,Daria Zhelezniakova,14
2026-06-20,Women's Bantamweight,Raquel Pennington,15
